# peaceable queens on Z_15^2 exact exhaustive certificate
# target=21 profiles=247 estimated_A=6074753568
profile	S	fixed	r	c	d	a	relative_sign	pair_orbits	pair_hash_fnv64	A_per_orbit	A_checked	triple_pass	dfs_calls	dfs_nodes	result	seconds
4,8,9,9	30	DA	9	9	8	4	0	7261	58757c892803b6da	1365	9911265	7339570	3222	23298	UNSAT	0.146827
4,9,6,11	30	RC	4	9	6	11	0	3981	7e825e9e366f1dc2	1365	5434065	141980	10	82	UNSAT	0.031066
4,9,7,10	30	RC	4	9	7	10	0	3981	7e825e9e366f1dc2	3003	11954943	9653179	414	2820	UNSAT	0.139548
4,9,8,9	30	RC	4	9	8	9	0	3981	7e825e9e366f1dc2	5005	19924905	14768241	4075	31147	UNSAT	0.259089
4,10,6,10	30	RC	4	10	6	10	0	2402	ef17332cf79070f2	3003	7213206	586321	58	1526	UNSAT	0.037197
4,10,7,9	30	RC	4	10	7	9	0	2402	ef17332cf79070f2	5005	12022010	9704491	579	6527	UNSAT	0.158760
4,10,8,8	30	RC	4	10	8	8	1	1614	bbfd1ea70864a272	6435	10386090	7180520	1221	10341	UNSAT	0.121545
4,11,6,9	30	RC	4	11	9	6	0	1129	4b53ba0e444a0757	5005	5650645	149246	20	100	UNSAT	0.027399
4,11,7,8	30	RC	4	11	8	7	0	1129	4b53ba0e444a0757	6435	7265115	3507958	77	381	UNSAT	0.080562
5,5,10,10	30	RC	5	5	10	10	1	1620	f7e531e7e53f5ad3	3003	4864860	51099	890	4250	UNSAT	0.043698
5,6,9,10	30	RC	5	6	9	10	0	8633	31b329cbff467c22	3003	25924899	10041733	10943	83921	UNSAT	0.230737
5,7,8,10	30	RC	5	7	8	10	0	11008	c5e7f5c75a69b244	3003	33057024	31265714	41975	296495	UNSAT	0.477881
5,7,9,9	30	DA	9	9	7	5	0	7261	58757c892803b6da	3003	21804783	21231848	61151	380637	UNSAT	0.300027
5,8,7,10	30	RC	5	8	7	10	0	11008	c24bac136c5e8076	3003	33057024	31265714	42300	262850	UNSAT	0.428384
5,8,8,9	30	DA	8	9	8	5	0	18297	1a59c9576d18456f	3003	54945891	53437245	293335	2139495	UNSAT	0.863558
5,9,6,10	30	RC	5	9	6	10	0	8633	3290a132bf957a55	3003	25924899	10041733	11465	60333	UNSAT	0.227977
5,9,7,9	30	RC	5	9	7	9	0	8633	3290a132bf957a55	5005	43208165	42095618	113402	699240	UNSAT	0.601663
5,9,8,8	30	RC	5	9	8	8	1	5257	3f2b89156728565c	6435	33828795	32887955	182420	1390544	UNSAT	0.517435
5,10,5,10	30	RC	5	10	10	5	0	5201	17f888870facb4ae	3003	15618603	146753	736	4008	UNSAT	0.092638
5,10,6,9	30	RC	5	10	9	6	0	5201	17f888870facb4ae	5005	26031005	10084583	13653	87729	UNSAT	0.229667
5,10,7,8	30	RC	5	10	8	7	0	5201	17f888870facb4ae	6435	33468435	31646693	47484	288670	UNSAT	0.486148
6,6,9,9	30	RC	6	6	9	9	1	4411	06ca83b69694c83c	5005	22077055	15934920	93973	839707	UNSAT	0.284272
6,7,8,9	30	RC	6	7	8	9	0	18297	e03398f06ec6ffbc	5005	91576485	90987210	1612832	13919126	UNSAT	1.568689
6,8,7,9	30	RC	6	8	7	9	0	18297	1f0a7941a57742e2	5005	91576485	90987210	1605682	11493408	UNSAT	1.503343
6,8,8,8	30	DA	8	8	8	6	0	11793	84cde4b26851b806	5005	59023965	58783024	1801352	15442832	UNSAT	1.185670
6,9,6,9	30	RC	6	9	9	6	0	14343	e97617894e2d888a	5005	71786715	51755461	329778	2598348	UNSAT	0.935986
6,9,7,8	30	RC	6	9	8	7	0	14343	e97617894e2d888a	6435	92297205	91697670	1610683	12889507	UNSAT	1.625213
7,7,8,8	30	RC	7	7	8	8	1	6892	6bf67401c636c96c	6435	44350020	44248453	2285721	22077313	UNSAT	1.009769
7,8,7,8	30	RC	7	8	8	7	0	23359	a97604c366e19324	6435	150315165	150009931	7558167	69709051	UNSAT	3.451359
# TOTAL A_checked=6074753568 triple_pass=2329772941 dfs_calls=26948453 dfs_nodes=246476279 result=UNSAT elapsed_seconds=60.392420
